gameId,minute,type,team,player,text
760415,,Kickoff,,,
760415,9',Goal,Mexico,Julián Quiñones,"Goal! Mexico 1, South Africa 0. Julián Quiñones (Mexico) right footed shot from the centre of the box to the centre of the goal. Assisted by Érik Lira."
760415,17',Yellow Card,South Africa,Teboho Mokoena,Teboho Mokoena (South Africa) is shown the yellow card for a bad foul.
760415,23',Yellow Card,Mexico,Brian Gutiérrez,Brian Gutiérrez (Mexico) is shown the yellow card for a bad foul.
760415,25',Start Delay,Mexico,,Delay in match for a drinks break.
760415,25',Start Delay,South Africa,,
760415,27',End Delay,Mexico,,Delay over. They are ready to continue.
760415,27',End Delay,South Africa,,
760415,45'+4',Halftime,,,"First Half ends, Mexico 1, South Africa 0."
760415,45',Start 2nd Half,,,"Second Half begins Mexico 1, South Africa 0."
760415,49',Red Card,South Africa,Sphephelo Sithole,Yaya Sithole (South Africa) is shown the red card.
760415,56',Substitution,South Africa,Thalente Mbatha,"Substitution, South Africa. Thalente Mbatha replaces Lyle Foster."
760415,61',Substitution,South Africa,Themba Zwane,"Substitution, South Africa. Themba Zwane replaces Jayden Adams."
760415,66',Substitution,Mexico,Luis Chávez,"Substitution, Mexico. Luis Chávez replaces Brian Gutiérrez."
760415,66',Substitution,Mexico,Gilberto Mora,"Substitution, Mexico. Gilberto Mora replaces Álvaro Fidalgo."
760415,67',Goal - Header,Mexico,Raúl Jiménez,"Goal! Mexico 2, South Africa 0. Raúl Jiménez (Mexico) header from very close range to the bottom left corner. Assisted by Roberto Alvarado with a cross."
760415,68',Start Delay,Mexico,,Delay in match for a drinks break.
760415,68',Start Delay,South Africa,,
760415,70',End Delay,Mexico,,Delay over. They are ready to continue.
760415,70',End Delay,South Africa,,
760415,73',Start Delay,Mexico,,Delay in match because of an injury Raúl Jiménez (Mexico).
760415,73',Start Delay,South Africa,,
760415,73',End Delay,Mexico,,Delay over. They are ready to continue.
760415,73',End Delay,South Africa,,
760415,74',Yellow Card,South Africa,Nkosinathi Sibisi,Nkosinathi Sibisi (South Africa) is shown the yellow card for a bad foul.
760415,76',Substitution,Mexico,Edson Álvarez,"Substitution, Mexico. Edson Álvarez replaces Érik Lira."
760415,76',Substitution,Mexico,Armando González,"Substitution, Mexico. Armando González replaces Raúl Jiménez."
760415,76',Substitution,South Africa,Evidence Makgopa,"Substitution, South Africa. Evidence Makgopa replaces Iqraam Rayners."
760415,77',Substitution,South Africa,Oswin Appollis,"Substitution, South Africa. Oswin Appollis replaces Aubrey Modiba."
760415,79',Substitution,Mexico,Alexis Vega,"Substitution, Mexico. Alexis Vega replaces Julián Quiñones."
760415,81',Start Delay,Mexico,,Delay in match because of an injury Roberto Alvarado (Mexico).
760415,81',Start Delay,South Africa,,
760415,81',End Delay,Mexico,,Delay over. They are ready to continue.
760415,81',End Delay,South Africa,,
760415,82',Start Delay,South Africa,,
760415,84',End Delay,South Africa,,
760415,84',Red Card,South Africa,Themba Zwane,Themba Zwane (South Africa) is shown the red card for violent conduct.
760415,90'+2',Red Card,Mexico,César Montes,César Montes (Mexico) is shown the red card.
760415,90'+8',End Regular Time,,,
760414,,Kickoff,,,
760414,23',Start Delay,South Korea,,Delay in match for a drinks break.
760414,23',Start Delay,Czech Republic,,
760414,25',End Delay,South Korea,,Delay over. They are ready to continue.
760414,25',End Delay,Czech Republic,,
760414,26',Start Delay,South Korea,,Delay in match (Korea Republic).
760414,26',Start Delay,Czech Republic,,
760414,27',End Delay,South Korea,,Delay over. They are ready to continue.
760414,27',End Delay,Czech Republic,,
760414,45'+4',Halftime,,,
760414,45',Start 2nd Half,,,
760414,59',Goal - Header,Czech Republic,Ladislav Krejcí,"Goal! Korea Republic 0, Czechia 1. Ladislav Krejcí (Czechia) header from very close range to the bottom right corner. Assisted by Vladimír Coufal."
760414,62',Substitution,South Korea,Hwang Hee-Chan,"Substitution, Korea Republic. Hwang Hee-Chan replaces Lee Jae-Sung."
760414,64',Substitution,Czech Republic,Adam Hlozek,"Substitution, Czechia. Adam Hlozek replaces Pavel Sulc."
760414,64',Substitution,Czech Republic,Tomás Chorý,"Substitution, Czechia. Tomás Chory replaces Patrik Schick."
760414,64',Substitution,Czech Republic,Michal Sadílek,"Substitution, Czechia. Michal Sadílek replaces Lukás Provod."
760414,67',Goal,South Korea,Hwang In-Beom,"Goal! Korea Republic 1, Czechia 1. Hwang In-Beom (Korea Republic) right footed shot from the centre of the box to the bottom right corner. Assisted by Lee Kang-In."
760414,69',Substitution,South Korea,Eom Ji-Sung,"Substitution, Korea Republic. Eom Ji-Sung replaces Lee Tae-Seok."
760414,69',Substitution,South Korea,Oh Hyeon-Gyu,"Substitution, Korea Republic. Oh Hyeon-Gyu replaces Son Heung-Min."
760414,70',Start Delay,South Korea,,Delay in match for a drinks break.
760414,70',Start Delay,Czech Republic,,
760414,72',End Delay,South Korea,,Delay over. They are ready to continue.
760414,72',End Delay,Czech Republic,,
760414,80',Goal,South Korea,Oh Hyeon-Gyu,"Goal! Korea Republic 2, Czechia 1. Oh Hyeon-Gyu (Korea Republic) left footed shot from very close range to the bottom left corner. Assisted by Hwang In-Beom."
760414,84',Substitution,South Korea,Kim Jin-Gyu,"Substitution, Korea Republic. Kim Jin-Gyu replaces Hwang In-Beom."
760414,84',Substitution,South Korea,Park Jin-Seop,"Substitution, Korea Republic. Park Jin-Seob replaces Paik Seung-Ho."
760414,84',Substitution,Czech Republic,Mojmír Chytil,"Substitution, Czechia. Mojmír Chytil replaces Alexandr Sojka."
760414,90'+6',Yellow Card,South Korea,Lee Gi-Hyuk,Lee Gi-Hyuk (Korea Republic) is shown the yellow card for a bad foul.
760414,90'+7',End Regular Time,,,
760416,,Kickoff,,,
760416,11',Yellow Card,Canada,Alistair Johnston,Alistair Johnston (Canada) is shown the yellow card for a bad foul.
760416,12',Start Delay,Bosnia and Herzegovina,,Delay in match because of an injury Amar Memic (Bosnia and Herzegovina).
760416,12',Start Delay,Canada,,
760416,12',End Delay,Bosnia and Herzegovina,,Delay over. They are ready to continue.
760416,12',End Delay,Canada,,
760416,15',Start Delay,Bosnia and Herzegovina,,Delay in match (Bosnia and Herzegovina).
760416,15',Start Delay,Canada,,
760416,15',End Delay,Bosnia and Herzegovina,,Delay over. They are ready to continue.
760416,15',End Delay,Canada,,
760416,21',Goal - Header,Bosnia and Herzegovina,Jovo Lukic,"Goal! Canada 0, Bosnia and Herzegovina 1. Jovo Lukic (Bosnia and Herzegovina) header from very close range to the centre of the goal. Assisted by Sead Kolasinac with a headed pass following a corner."
760416,23',Start Delay,Canada,,Delay in match for a drinks break.
760416,23',Start Delay,Bosnia and Herzegovina,,
760416,25',End Delay,Canada,,Delay over. They are ready to continue.
760416,25',End Delay,Bosnia and Herzegovina,,
760416,45',Yellow Card,Bosnia and Herzegovina,Ermedin Demirovic,Ermedin Demirovic (Bosnia and Herzegovina) is shown the yellow card for a bad foul.
760416,45'+1',Yellow Card,Bosnia and Herzegovina,Jovo Lukic,Jovo Lukic (Bosnia and Herzegovina) is shown the yellow card for a bad foul.
760416,45'+4',Halftime,,,
760416,45',Start 2nd Half,,,
760416,49',Start Delay,Bosnia and Herzegovina,,Delay in match because of an injury Nikola Vasilj (Bosnia and Herzegovina).
760416,49',Start Delay,Canada,,Delay in match because of an injury Tani Oluwaseyi (Canada).
760416,50',End Delay,Canada,,Delay over. They are ready to continue.
760416,50',End Delay,Bosnia and Herzegovina,,Delay over. They are ready to continue.
