league,season,team,player,nation,pos,age,Club,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
INT-World Cup,2026,Algeria,Adil Boulbina,Algeria,FW,23-056,1. Al Duhail SC,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Amine Gouiri,Algeria,FW,26-131,1. Marseille,2000,2,2,148,1.6,1,0,1,1,0,0,0,0,0.61,0.0,0.61,0.61,0.61
INT-World Cup,2026,Algeria,Anis Hadj Moussa,Algeria,MF,24-136,1. Feyenoord,2002,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Aïssa Mandi,Algeria,DF,34-248,1. Lille,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Fares Chaïbi,Algeria,MF,23-211,1. Frankfurt,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Hicham Boudaoui,Algeria,MF,26-277,1. Nice,1999,2,2,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Houssem Aouar,Algeria,MF,27-362,1. Al-Ittihad,1998,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Ibrahim Maza,Algeria,MF,20-215,1. Leverkusen,2005,2,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Jaouen Hadjam,Algeria,DF,23-093,1. Young Boys,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Luca Zidane,Algeria,GK,28-045,2. Granada,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Mohamed Amoura,Algeria,"FW,MF",26-049,1. Wolfsburg,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Nabil Bentaleb,Algeria,MF,31-215,1. Lille,1994,2,1,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Nadhir Benbouali,Algeria,FW,26-071,1. Győr,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2.0,0.0,2.0,2.0,2.0
INT-World Cup,2026,Algeria,Rafik Belghali,Algeria,DF,24-020,1. Hellas Verona,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Ramiz Zerrouki,Algeria,MF,28-032,1. Twente,1998,2,1,54,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Ramy Bensebaini,Algeria,DF,31-072,1. Dortmund,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Rayan Aït-Nouri,Algeria,DF,25-021,1. Manchester City,2001,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Riyad Mahrez,Algeria,MF,35-126,1. Al-Ahli,1991,2,1,102,1.1,0,1,1,0,0,0,0,0,0.0,0.88,0.88,0.0,0.88
INT-World Cup,2026,Algeria,Zineddine Belaïd,Algeria,DF,27-099,1. JS Kabylie,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Alexis Mac Allister,Argentina,MF,27-185,1. Liverpool,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Cristian Romero,Argentina,DF,28-061,1. Tottenham,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Emiliano Martínez,Argentina,GK,33-298,1. Aston Villa,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Enzo Fernández,Argentina,MF,25-161,1. Chelsea,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Facundo Medina,Argentina,DF,27-030,1. Marseille,1999,2,2,171,1.9,0,1,1,0,0,0,1,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Argentina,Gonzalo Montiel,Argentina,DF,29-177,1. River Plate,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Julián Álvarez,Argentina,"FW,MF",26-147,1. Atlético Madrid,2000,2,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Lautaro Martínez,Argentina,FW,28-309,1. Inter,1997,2,2,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Leandro Paredes,Argentina,MF,31-363,1. Boca Juniors,1994,1,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Lionel Messi,Argentina,FW,39-003,1. Inter Miami,1987,2,2,169,1.9,5,0,5,5,0,1,0,0,2.66,0.0,2.66,2.66,2.66
INT-World Cup,2026,Argentina,Lisandro Martínez,Argentina,DF,28-160,1. Manchester Utd,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nahuel Molina,Argentina,DF,28-082,1. Atlético Madrid,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nicolás González,Argentina,"FW,MF",28-082,1. Atlético Madrid,1998,2,0,62,0.7,0,1,1,0,0,0,0,0,0.0,1.45,1.45,0.0,1.45
INT-World Cup,2026,Argentina,Nicolás Otamendi,Argentina,DF,38-135,1. Benfica,1988,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
