gameId,date,team,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,possessionPct,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance
760415,2026-06-11,Mexico,12,1,1,1,3,2,60.5,16,4,0.3,0,0,467,520,0.9,4,12,0.3,48,31,0.6,5,6,12,0.5,8,15,15
760415,2026-06-11,South Africa,11,2,2,1,1,2,39.5,3,2,0.7,0,0,272,334,0.8,1,8,0.1,46,17,0.4,0,7,14,0.5,7,17,17
760414,2026-06-12,South Korea,9,1,0,2,4,3,61.5,15,6,0.4,0,0,469,541,0.9,3,12,0.3,61,30,0.5,4,4,7,0.6,9,32,32
760414,2026-06-12,Czech Republic,16,0,0,2,5,4,38.5,7,4,0.6,0,0,230,327,0.7,3,15,0.2,69,23,0.3,1,7,9,0.8,6,21,21
760416,2026-06-12,Canada,10,2,0,1,9,2,61.1,13,4,0.3,0,0,310,421,0.7,5,24,0.2,41,18,0.4,4,15,23,0.7,4,21,21
760416,2026-06-12,Bosnia and Herzegovina,20,3,0,0,4,1,38.9,8,3,0.4,0,0,172,271,0.6,6,10,0.6,62,17,0.3,1,12,20,0.6,11,70,70
760417,2026-06-13,United States,13,1,0,2,3,1,65.3,16,6,0.4,0,0,509,598,0.9,3,19,0.2,48,26,0.5,4,7,9,0.8,9,15,15
760417,2026-06-13,Paraguay,17,5,0,1,1,3,34.7,9,1,0.1,0,0,232,319,0.7,1,5,0.0,59,20,0.3,5,16,21,0.8,10,33,33
760420,2026-06-13,Qatar,12,2,0,0,3,5,32,6,3,0.5,0,0,200,278,0.7,1,9,0.1,64,19,0.3,0,9,14,0.6,11,31,31
760420,2026-06-13,Switzerland,11,1,0,1,10,3,68,26,7,0.3,0,1,527,576,0.9,6,35,0.2,35,27,0.8,9,6,8,0.8,7,13,13
760419,2026-06-13,Brazil,16,2,0,0,6,2,51.4,12,5,0.4,0,0,449,514,0.9,4,16,0.3,36,18,0.5,3,13,23,0.6,5,23,23
760419,2026-06-13,Morocco,14,0,0,1,2,4,48.6,14,3,0.2,0,0,419,486,0.9,2,15,0.1,52,17,0.3,6,18,26,0.7,5,17,17
760418,2026-06-14,Haiti,23,1,0,3,4,1,53.7,15,2,0.1,0,0,367,431,0.9,5,23,0.2,59,26,0.4,4,7,12,0.6,6,20,20
760418,2026-06-14,Scotland,21,3,0,1,3,2,46.3,9,2,0.2,0,0,307,374,0.8,5,14,0.4,58,30,0.5,2,5,12,0.4,6,17,17
760421,2026-06-14,Australia,12,0,0,1,5,8,28.4,9,4,0.4,0,0,201,271,0.7,4,14,0.3,58,16,0.3,1,5,15,0.3,7,55,55
760421,2026-06-14,Turkey,4,1,0,3,8,2,71.6,30,8,0.3,0,0,635,704,0.9,2,26,0.1,28,19,0.7,12,8,12,0.7,4,29,29
760422,2026-06-14,Germany,18,0,0,0,8,1,64.6,26,12,0.5,0,1,554,637,0.9,5,12,0.4,25,12,0.5,8,13,19,0.7,12,8,8
760422,2026-06-14,Curaçao,11,0,0,1,1,4,35.4,8,2,0.3,0,0,282,343,0.8,2,7,0.3,44,17,0.4,0,8,16,0.5,16,25,25
760425,2026-06-14,Netherlands,7,3,0,1,5,1,59.8,10,6,0.6,0,0,463,524,0.9,8,21,0.4,35,16,0.5,1,5,11,0.5,7,23,23
760425,2026-06-14,Japan,7,0,0,0,4,4,40.2,10,3,0.3,0,0,286,341,0.8,6,23,0.3,36,13,0.4,1,10,11,0.9,4,32,32
760423,2026-06-14,Ivory Coast,10,3,0,0,3,1,48.4,15,4,0.3,0,0,397,470,0.8,2,8,0.3,40,18,0.5,3,9,14,0.6,11,29,29
760423,2026-06-14,Ecuador,13,1,0,0,6,3,51.6,12,1,0.1,0,0,419,492,0.9,4,14,0.3,36,11,0.3,3,15,21,0.7,13,18,18
760424,2026-06-15,Sweden,10,0,0,3,4,1,48.7,13,7,0.5,0,0,278,356,0.8,3,12,0.3,58,22,0.4,3,9,14,0.6,6,23,23
760424,2026-06-15,Tunisia,8,1,0,6,2,1,51.3,6,2,0.3,0,0,292,371,0.8,3,13,0.2,53,24,0.5,1,12,21,0.6,6,13,13
760428,2026-06-15,Spain,10,1,0,2,11,1,74.3,27,7,0.3,0,0,734,800,0.9,6,36,0.2,30,24,0.8,8,12,13,0.9,6,7,7
760428,2026-06-15,Cape Verde,1,1,0,3,1,7,25.7,6,1,0.2,0,0,205,278,0.7,1,4,0.3,56,19,0.3,2,11,18,0.6,15,46,46
760426,2026-06-15,Belgium,15,2,0,0,2,2,53.6,15,3,0.2,0,0,391,455,0.9,6,16,0.4,30,18,0.6,5,11,17,0.6,10,25,25
760426,2026-06-15,Egypt,15,2,0,1,7,3,46.4,14,3,0.2,0,0,323,398,0.8,2,13,0.2,53,20,0.4,7,17,28,0.6,16,17,17
760429,2026-06-15,Saudi Arabia,11,1,0,0,4,9,33.2,7,3,0.4,0,0,236,322,0.7,3,6,0.5,41,10,0.2,1,8,11,0.7,9,43,43
760429,2026-06-15,Uruguay,6,0,0,6,14,2,66.8,27,10,0.4,0,0,540,612,0.9,16,47,0.3,41,24,0.6,7,2,3,0.7,10,17,17
760427,2026-06-16,Iran,10,1,0,2,4,6,48.5,17,4,0.2,0,0,314,409,0.8,6,19,0.3,61,27,0.4,5,10,17,0.6,11,27,27
760427,2026-06-16,New Zealand,8,0,0,0,1,2,51.5,14,8,0.6,0,0,376,446,0.8,1,12,0.1,40,21,0.5,2,10,13,0.8,15,26,26
760432,2026-06-16,France,5,0,0,1,6,2,53.4,11,8,0.7,0,0,505,575,0.9,0,9,0.0,44,20,0.5,2,14,19,0.7,7,14,14
760432,2026-06-16,Senegal,9,0,0,3,4,5,46.6,6,2,0.3,0,0,430,502,0.9,1,9,0.1,49,25,0.5,1,10,14,0.7,8,17,17
760430,2026-06-16,Iraq,12,1,0,1,2,2,38.7,11,1,0.1,0,0,271,334,0.8,6,13,0.5,54,22,0.4,2,13,19,0.7,5,20,20
760430,2026-06-16,Norway,13,0,0,0,5,0,61.3,12,5,0.4,0,0,477,537,0.9,7,17,0.4,42,18,0.4,3,10,15,0.7,2,22,22
760433,2026-06-17,Argentina,13,0,0,3,2,0,47.8,10,6,0.6,0,0,504,561,0.9,1,6,0.2,32,17,0.5,1,19,27,0.7,10,17,17
760433,2026-06-17,Algeria,8,0,0,1,2,3,52.2,7,1,0.0,0,0,563,609,0.9,1,9,0.1,25,15,0.6,3,10,17,0.6,8,12,12
760431,2026-06-17,Austria,12,1,0,3,4,3,63.2,11,4,0.4,0,1,487,580,0.8,3,17,0.2,47,18,0.4,1,7,17,0.4,15,24,24
760431,2026-06-17,Jordan,7,0,0,1,3,1,36.8,11,4,0.4,0,0,241,332,0.7,3,15,0.2,52,23,0.4,2,6,15,0.4,12,39,39
760435,2026-06-17,Portugal,9,3,0,3,5,1,75.4,7,1,0.1,0,0,724,783,0.9,6,23,0.3,64,41,0.6,2,6,12,0.5,3,10,10
760435,2026-06-17,DR Congo,10,1,0,2,4,0,24.6,8,2,0.3,0,0,195,249,0.8,1,10,0.1,40,11,0.3,3,9,17,0.5,5,27,27
760437,2026-06-17,England,10,0,0,0,8,3,51.7,22,11,0.5,0,1,406,474,0.9,6,13,0.5,41,15,0.4,5,7,9,0.8,7,16,16
760437,2026-06-17,Croatia,12,0,0,1,2,7,48.3,10,5,0.5,0,0,381,443,0.9,2,13,0.2,42,18,0.4,2,8,11,0.7,9,17,17
760434,2026-06-17,Ghana,9,1,0,4,2,4,38,7,2,0.3,0,0,292,352,0.8,4,16,0.3,52,30,0.6,1,9,16,0.6,8,28,28
760434,2026-06-17,Panama,11,2,0,1,2,2,62,11,4,0.4,0,0,503,583,0.9,4,21,0.2,70,34,0.5,2,11,29,0.4,5,17,17
760436,2026-06-18,Uzbekistan,14,1,0,0,3,1,38.6,8,2,0.3,0,0,243,319,0.8,3,13,0.2,53,17,0.3,2,7,10,0.7,7,24,24
760436,2026-06-18,Colombia,11,1,0,3,4,1,61.4,15,4,0.3,0,0,444,519,0.9,6,16,0.4,48,17,0.4,4,3,10,0.3,6,20,20
760438,2026-06-18,Czech Republic,12,1,0,2,5,3,38.3,14,3,0.2,0,0,272,341,0.8,7,16,0.4,45,22,0.5,3,4,12,0.3,9,22,22
760438,2026-06-18,South Africa,10,2,0,3,5,2,61.7,17,4,0.2,0,1,508,563,0.9,4,17,0.2,58,30,0.5,8,11,20,0.6,9,24,24
760439,2026-06-18,Switzerland,7,1,0,3,7,2,62.3,13,7,0.5,0,1,516,586,0.9,1,23,0.0,50,25,0.5,3,13,19,0.7,5,17,17
760439,2026-06-18,Bosnia and Herzegovina,18,2,1,1,3,3,37.7,5,3,0.6,0,0,287,354,0.8,1,12,0.0,48,13,0.3,1,3,13,0.2,11,36,36
760440,2026-06-18,Canada,9,1,0,1,19,0,79,32,10,0.3,0,0,515,567,0.9,13,55,0.2,16,10,0.6,14,5,9,0.6,6,3,3
760440,2026-06-18,Qatar,10,1,2,1,1,4,21,2,0,0.0,0,0,104,162,0.6,1,3,0.3,54,17,0.3,1,10,16,0.6,10,61,61
760441,2026-06-19,Mexico,9,0,0,3,1,2,42.4,8,4,0.5,0,0,349,427,0.8,4,6,0.7,56,16,0.3,1,7,14,0.5,6,20,20
760441,2026-06-19,South Korea,7,2,0,6,2,3,57.6,9,2,0.2,0,0,488,578,0.8,5,9,0.6,64,23,0.4,3,10,17,0.6,5,12,12
760442,2026-06-19,United States,12,3,0,1,7,2,61.9,10,2,0.2,0,0,444,523,0.8,4,14,0.3,59,26,0.4,6,8,20,0.4,20,31,31
760442,2026-06-19,Australia,16,4,0,0,4,1,38.1,5,2,0.4,0,0,219,310,0.7,4,19,0.2,46,19,0.4,0,11,13,0.8,6,24,24
760445,2026-06-19,Scotland,11,1,0,1,2,1,41.1,6,0,0.0,0,0,388,456,0.9,3,13,0.2,47,20,0.4,3,12,20,0.6,9,17,17
760445,2026-06-19,Morocco,8,1,0,0,5,0,58.9,12,2,0.2,0,0,600,670,0.9,2,10,0.2,44,14,0.3,4,6,10,0.6,5,14,14
760444,2026-06-20,Brazil,13,1,0,8,4,3,56.7,8,5,0.6,0,0,462,525,0.9,1,9,0.1,44,20,0.5,1,10,21,0.5,10,14,14
760444,2026-06-20,Haiti,14,3,0,4,4,2,43.3,7,3,0.4,0,0,332,399,0.8,3,11,0.3,56,31,0.6,1,10,16,0.6,9,22,22
760443,2026-06-20,Turkey,14,1,0,2,12,1,78.5,32,5,0.2,0,0,559,629,0.9,8,42,0.2,42,28,0.7,12,11,17,0.6,6,29,29
760443,2026-06-20,Paraguay,15,1,1,3,0,5,21.5,7,2,0.3,0,0,96,178,0.5,2,6,0.3,64,22,0.3,2,15,25,0.6,9,48,48
760447,2026-06-20,Netherlands,9,0,0,3,2,7,50.9,10,7,0.7,0,0,398,449,0.9,3,16,0.2,35,18,0.5,1,8,15,0.5,8,24,24
760447,2026-06-20,Sweden,12,3,0,3,5,2,49.1,16,8,0.5,0,0,361,425,0.8,3,21,0.1,30,6,0.2,3,9,18,0.5,5,14,14
760448,2026-06-20,Germany,5,0,0,0,8,1,59.5,16,7,0.4,0,0,555,624,0.9,5,21,0.2,31,18,0.6,4,17,26,0.7,8,14,14
760448,2026-06-20,Ivory Coast,7,0,0,1,3,5,40.5,9,2,0.2,0,0,367,431,0.9,5,9,0.6,57,28,0.5,5,11,20,0.6,13,26,26
760446,2026-06-21,Ecuador,7,1,0,1,9,3,74.6,27,15,0.6,0,0,581,644,0.9,11,33,0.3,34,14,0.4,2,11,19,0.6,7,17,17
760446,2026-06-21,Curaçao,10,5,0,2,0,15,25.4,10,3,0.3,0,0,159,227,0.7,1,1,1.0,50,15,0.3,3,7,17,0.4,8,32,32
760449,2026-06-21,Tunisia,8,0,0,1,3,1,37.9,2,0,0.0,0,0,284,354,0.8,2,10,0.2,56,16,0.3,1,16,18,0.9,14,23,23
760449,2026-06-21,Japan,15,0,0,1,5,0,62.1,11,5,0.5,0,0,521,583,0.9,2,11,0.2,32,18,0.6,3,12,18,0.7,7,25,25
760453,2026-06-21,Spain,10,0,0,2,6,1,67.1,22,8,0.4,0,0,668,726,0.9,7,25,0.3,38,28,0.7,2,8,10,0.8,13,17,17
760453,2026-06-21,Saudi Arabia,2,2,0,3,1,5,32.9,3,1,0.3,0,0,294,364,0.8,0,5,0.0,35,14,0.4,1,12,15,0.8,13,35,35
760451,2026-06-21,Belgium,7,1,1,3,4,3,70.1,23,7,0.3,0,0,533,621,0.9,6,32,0.2,35,12,0.3,6,7,12,0.6,3,11,11
760451,2026-06-21,Iran,9,1,0,4,2,7,29.9,7,3,0.4,0,0,198,270,0.7,2,8,0.3,50,18,0.4,1,11,19,0.6,12,51,51
760450,2026-06-21,Uruguay,11,2,0,3,11,2,65.2,17,2,0.1,0,0,420,511,0.8,4,29,0.1,48,23,0.5,7,8,16,0.5,7,11,11
760450,2026-06-21,Cape Verde,4,2,0,0,4,0,34.8,12,4,0.3,0,0,205,278,0.7,2,7,0.3,61,18,0.3,4,15,16,0.9,13,48,48
760452,2026-06-22,New Zealand,14,2,0,3,4,4,44.4,11,5,0.5,0,0,337,421,0.8,3,15,0.2,50,20,0.4,3,6,12,0.5,4,22,22
