date,home_team,away_team,odd_home,odd_draw,odd_away
2026-07-02,Spain,Austria,1.32,5.33,10.19
2026-07-02,Portugal,Croatia,1.75,3.66,5.01
2026-07-03,Switzerland,Algeria,2.04,3.25,4.06
2026-07-03,Australia,Egypt,3.37,2.9,2.49
2026-07-03,Argentina,Cape Verde,1.16,7.76,19.47
2026-07-04,Colombia,Ghana,1.52,3.94,7.51
2026-07-04,Canada,Morocco,5.11,3.49,1.78
2026-07-04,Paraguay,France,17.36,6.98,1.19
2026-07-05,Brazil,Norway,1.89,3.63,4.15
2026-07-06,Mexico,England,3.06,3.11,2.53
2026-07-07,United States,Belgium,2.57,3.46,2.71
