team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
Portugal,Cristiano Ronaldo,Offence,41,123,15,2,21,2004,2026,media
England,Harry Kane,Offence,32,71,16,2,23,2015,2026,baja
Argentina,Lionel Messi,Offence,39,68,11,5,14,2006,2026,media
Belgium,Romelu Lukaku,Offence,33,64,4,0,7,2013,2025,alta
Bosnia-Herzegovina,Edin Džeko,Offence,40,58,8,0,2,2007,2026,media
Colombia,Luis Suárez,Offence,28,51,5,0,9,2007,2025,baja
Norway,Erling Haaland,Offence,25,50,27,4,5,2020,2026,baja
France,Kylian Mbappé,Offence,27,49,12,4,10,2017,2026,baja
Netherlands,Memphis Depay,Offence,32,44,10,0,11,2014,2025,baja
Egypt,Mohamed Salah,Offence,34,34,11,1,7,2012,2026,media
Qatar,Almoez Ali,Offence,29,34,9,0,4,2019,2024,baja
Brazil,Neymar,Offence,34,33,0,0,8,2011,2023,alta
Iran,Mehdi Taremi,Offence,33,33,11,0,4,2015,2025,media
New Zealand,Chris Wood,Offence,34,30,9,0,2,2012,2025,media
Croatia,Ivan Perišić,Offence,37,30,5,0,1,2012,2025,media
Belgium,Kevin De Bruyne,Midfield,34,30,9,0,4,2012,2025,media
Croatia,Andrej Kramarić,Offence,35,28,8,0,2,2014,2025,media
Ecuador,Enner Valencia,Offence,36,26,6,0,6,2014,2025,alta
Croatia,Luka Modrić,Midfield,40,24,3,0,9,2006,2025,alta
Senegal,Sadio Mané,Offence,34,24,6,0,5,2012,2026,media
Colombia,James Rodríguez,Midfield,34,23,3,0,6,2012,2025,alta
Canada,Cyle Larin,Offence,31,23,3,2,2,2015,2026,baja
Argentina,Lautaro Martínez,Offence,28,22,9,0,0,2019,2025,baja
Canada,Jonathan David,Offence,26,22,7,3,2,2019,2026,baja
Qatar,Akram Afif,Offence,29,22,12,0,7,2015,2025,baja
Mexico,Raúl Jiménez,Offence,35,21,4,1,6,2013,2026,alta
Czechia,Patrik Schick,Offence,30,21,6,0,3,2018,2026,baja
Netherlands,Cody Gakpo,Offence,27,21,12,2,5,2021,2026,baja
Norway,Alexander Sørloth,Offence,30,21,8,0,0,2019,2025,baja
Spain,Mikel Oyarzabal,Midfield,29,20,13,2,3,2019,2026,baja
Iraq,Aymen Hussein,Offence,30,20,16,1,3,2017,2026,baja
Portugal,Bruno Fernandes,Midfield,31,19,6,0,3,2019,2025,baja
Austria,Marcel Sabitzer,Midfield,32,19,6,0,4,2015,2025,baja
Scotland,John McGinn,Midfield,31,19,3,1,0,2019,2026,baja
Switzerland,Breel Embolo,Offence,29,18,7,1,2,2015,2026,baja
Sweden,Viktor Gyökeres,Offence,28,18,14,1,2,2022,2026,baja
Haiti,Duckens Nazon,Offence,32,18,6,0,2,2015,2025,baja
United States,Christian Pulisic,Offence,27,17,1,0,2,2016,2024,baja
Colombia,Luis Díaz,Offence,29,17,8,1,1,2021,2026,baja
Uzbekistan,Eldor Shomurodov,Offence,30,17,4,0,0,2015,2025,baja
Germany,Kai Havertz,Offence,27,16,6,2,4,2020,2026,baja
Ghana,Jordan Ayew,Offence,34,16,9,0,5,2012,2025,media
Algeria,Riyad Mahrez,Offence,35,16,4,0,2,2015,2025,alta
Austria,Michael Gregoritsch,Offence,32,16,8,0,0,2019,2025,baja
England,Marcus Rashford,Offence,28,15,2,1,3,2017,2026,baja
Turkey,Hakan Çalhanoğlu,Midfield,32,15,4,0,6,2015,2025,baja
Senegal,El Hadji Diouf,Defence,21,15,0,0,1,2001,2008,baja
Germany,Leon Goretzka,Midfield,31,14,1,0,0,2017,2025,baja
Japan,Ayase Ueda,Offence,27,14,9,2,2,2023,2026,baja
Switzerland,Granit Xhaka,Midfield,33,14,3,1,3,2012,2026,media
Scotland,Scott McTominay,Midfield,29,14,6,0,1,2021,2025,baja
Germany,Leroy Sané,Offence,30,13,4,1,0,2018,2026,baja
Portugal,Bernardo Silva,Midfield,31,13,3,0,0,2017,2025,baja
Sweden,Alexander Isak,Offence,26,13,5,1,0,2019,2026,baja
Senegal,Ismaïla Sarr,Midfield,28,13,6,2,1,2017,2026,baja
Austria,Christoph Baumgartner,Midfield,26,13,4,0,0,2020,2025,baja
Panama,Ismael Díaz,Offence,29,13,8,0,2,2017,2025,baja
England,Bukayo Saka,Offence,24,12,2,0,0,2021,2025,baja
Czechia,Tomáš Souček,Midfield,31,12,4,0,2,2019,2025,baja
Morocco,Ayoub El Kaabi,Offence,33,12,7,0,0,2021,2025,media
Austria,David Alaba,Defence,34,11,0,0,5,2012,2019,alta
Iraq,Mohanad Ali,Offence,26,11,3,0,0,2019,2025,baja
Netherlands,Denzel Dumfries,Defence,30,11,5,0,0,2021,2025,baja
Netherlands,Donyell Malen,Midfield,27,11,6,0,0,2019,2025,baja
Spain,Mikel Merino,Midfield,30,10,9,0,0,2023,2025,baja
Spain,Dani Olmo,Midfield,28,10,4,0,0,2019,2025,baja
Ghana,Thomas Partey,Midfield,33,10,3,0,0,2017,2025,alta
Portugal,João Cancelo,Defence,32,10,2,0,0,2016,2025,baja
Japan,Daichi Kamada,Midfield,29,10,6,2,0,2019,2026,baja
Australia,Jackson Irvine,Midfield,33,10,5,0,0,2017,2025,media
Switzerland,Remo Freuler,Midfield,34,10,2,0,0,2019,2024,media
Belgium,Thomas Meunier,Defence,34,10,2,0,0,2016,2025,alta
Belgium,Youri Tielemans,Midfield,29,10,5,0,1,2019,2025,baja
Haiti,Frantzdy Pierrot,Offence,31,10,3,0,0,2019,2025,baja
Iran,Alireza Jahanbakhsh,Offence,32,10,2,0,3,2016,2024,baja
Jordan,Ali Olwan,Offence,26,10,10,1,3,2024,2026,baja
Netherlands,Wout Weghorst,Offence,33,10,3,0,1,2021,2024,alta
Scotland,Lyndon Dykes,Offence,30,10,1,0,1,2020,2025,baja
Brazil,Raphinha,Offence,29,9,5,0,3,2021,2025,baja
Portugal,João Félix,Offence,26,9,3,0,0,2020,2025,baja
Australia,Harry Souttar,Defence,27,9,1,0,0,2019,2024,baja
Australia,Mathew Leckie,Midfield,35,9,0,0,0,2015,2022,alta
Switzerland,Zeki Amdouni,Offence,25,9,3,0,1,2023,2024,baja
Croatia,Mario Pašalić,Midfield,31,9,1,0,0,2021,2025,baja
Croatia,Nikola Vlašić,Midfield,28,9,2,0,0,2019,2025,baja
Canada,Alphonso Davies,Defence,25,9,0,0,1,2017,2022,baja
Iran,Mohammad Mohebi,Offence,27,9,7,1,0,2019,2026,baja
Panama,Cecilio Waterman,Midfield,35,9,2,0,0,2021,2025,alta
Congo DR,Cédric Bakambu,Offence,35,9,4,0,1,2017,2025,media
Uzbekistan,Igor Sergeev,Offence,33,9,2,0,0,2015,2025,alta
Netherlands,Virgil van Dijk,Defence,34,9,3,1,1,2018,2026,media
Uruguay,Darwin Núñez,Offence,27,8,2,0,1,2020,2024,baja
Germany,Joshua Kimmich,Midfield,31,8,4,0,2,2016,2025,baja
Germany,Jamal Musiala,Midfield,23,8,7,1,0,2021,2026,baja
Brazil,Lucas Paquetá,Midfield,28,8,2,0,1,2021,2025,baja
