home,away,stage,group,referee,ref_country
Mexico,South Africa,GROUP_STAGE,GROUP_A,Wilton Sampaio,Brazil
South Korea,Czechia,GROUP_STAGE,GROUP_A,Amin Omar,Egypt
Canada,Bosnia-Herzegovina,GROUP_STAGE,GROUP_B,Facundo Tello,Argentina
United States,Paraguay,GROUP_STAGE,GROUP_D,Danny Makkelie,Netherlands
Qatar,Switzerland,GROUP_STAGE,GROUP_B,Said Martinez,Honduras
Brazil,Morocco,GROUP_STAGE,GROUP_C,Slavko Vinčič,Slovenia
Haiti,Scotland,GROUP_STAGE,GROUP_C,Mustapha Ghorbal,
Australia,Turkey,GROUP_STAGE,GROUP_D,Jesús Valenzuela,Venezuela
Germany,Curaçao,GROUP_STAGE,GROUP_E,Jalal Jayed,Morocco
Netherlands,Japan,GROUP_STAGE,GROUP_F,Ismail Elfath,United States
Ivory Coast,Ecuador,GROUP_STAGE,GROUP_E,François Letexier,France
Sweden,Tunisia,GROUP_STAGE,GROUP_F,Yael Falcón,Argentina
Spain,Cape Verde Islands,GROUP_STAGE,GROUP_H,Adham Makhadmeh,Jordan
Belgium,Egypt,GROUP_STAGE,GROUP_G,Ramon Abatti Abel,Brazil
Saudi Arabia,Uruguay,GROUP_STAGE,GROUP_H,Maurizio Mariani,Italy
Iran,New Zealand,GROUP_STAGE,GROUP_G,César Ramos,Mexico
France,Senegal,GROUP_STAGE,GROUP_I,Alireza Faghani,Iran
Iraq,Norway,GROUP_STAGE,GROUP_I,Pierre Atcho,Gabon
Argentina,Algeria,GROUP_STAGE,GROUP_J,Szymon Marciniak,Poland
Austria,Jordan,GROUP_STAGE,GROUP_J,Dahane Beida,Mauritania
Portugal,Congo DR,GROUP_STAGE,GROUP_K,Abdulrahman Al Jassim,Qatar
England,Croatia,GROUP_STAGE,GROUP_L,Clément Turpin,France
Ghana,Panama,GROUP_STAGE,GROUP_L,Glenn Nyberg,Sweden
Uzbekistan,Colombia,GROUP_STAGE,GROUP_K,Anthony Taylor,England
Czechia,South Africa,GROUP_STAGE,GROUP_A,Tori Penso,USA
Switzerland,Bosnia-Herzegovina,GROUP_STAGE,GROUP_B,João Pinheiro,Portugal
Canada,Qatar,GROUP_STAGE,GROUP_B,Cristián Garay,Chile
Mexico,South Korea,GROUP_STAGE,GROUP_A,Gustavo Tejera,Uruguay
United States,Australia,GROUP_STAGE,GROUP_D,Felix Zwayer,Germany
Scotland,Morocco,GROUP_STAGE,GROUP_C,Il'giz Tantashev,Uzbekistan
Brazil,Haiti,GROUP_STAGE,GROUP_C,Alejandro Hernández Hernández,Spain
Turkey,Paraguay,GROUP_STAGE,GROUP_D,Ivan Barton,
Netherlands,Sweden,GROUP_STAGE,GROUP_F,Michael Oliver,England
Germany,Ivory Coast,GROUP_STAGE,GROUP_E,Juan Benítez,Paraguay
Ecuador,Curaçao,GROUP_STAGE,GROUP_E,Ning Ma,China PR
Tunisia,Japan,GROUP_STAGE,GROUP_F,István Kovács,Romania
Spain,Saudi Arabia,GROUP_STAGE,GROUP_H,Raphael Claus,Brazil
Belgium,Iran,GROUP_STAGE,GROUP_G,Darío Herrera,Argentina
Uruguay,Cape Verde Islands,GROUP_STAGE,GROUP_H,Espen Eskås,Norway
New Zealand,Egypt,GROUP_STAGE,GROUP_G,Omar Mohamed Al Ali,United Arab Emirates
Argentina,Austria,GROUP_STAGE,GROUP_J,Amin Omar,Egypt
France,Iraq,GROUP_STAGE,GROUP_I,Drew Fischer,Canada
Norway,Senegal,GROUP_STAGE,GROUP_I,Wilton Sampaio,Brazil
Jordan,Algeria,GROUP_STAGE,GROUP_J,Slavko Vinčič,Slovenia
Portugal,Uzbekistan,GROUP_STAGE,GROUP_K,Jalal Jayed,Morocco
England,Ghana,GROUP_STAGE,GROUP_L,Said Martinez,Honduras
Panama,Croatia,GROUP_STAGE,GROUP_L,,
Colombia,Congo DR,GROUP_STAGE,GROUP_K,,
Switzerland,Canada,GROUP_STAGE,GROUP_B,Ramon Abatti Abel,Brazil
Bosnia-Herzegovina,Qatar,GROUP_STAGE,GROUP_B,Jesús Valenzuela,Venezuela
Morocco,Haiti,GROUP_STAGE,GROUP_C,Danny Makkelie,Netherlands
Scotland,Brazil,GROUP_STAGE,GROUP_C,César Ramos,Mexico
Czechia,Mexico,GROUP_STAGE,GROUP_A,Yael Falcón,Argentina
South Africa,South Korea,GROUP_STAGE,GROUP_A,Facundo Tello,Argentina
Ecuador,Germany,GROUP_STAGE,GROUP_E,Tori Penso,USA
Curaçao,Ivory Coast,GROUP_STAGE,GROUP_E,Glenn Nyberg,Sweden
Tunisia,Netherlands,GROUP_STAGE,GROUP_F,Katia García,Mexico
Japan,Sweden,GROUP_STAGE,GROUP_F,Ivan Barton,
Turkey,United States,GROUP_STAGE,GROUP_D,Mustapha Ghorbal,
Paraguay,Australia,GROUP_STAGE,GROUP_D,Clément Turpin,France
Norway,France,GROUP_STAGE,GROUP_I,Michael Oliver,England
Senegal,Iraq,GROUP_STAGE,GROUP_I,Anthony Taylor,England
Uruguay,Spain,GROUP_STAGE,GROUP_H,Ismail Elfath,United States
Cape Verde Islands,Saudi Arabia,GROUP_STAGE,GROUP_H,François Letexier,France
New Zealand,Belgium,GROUP_STAGE,GROUP_G,Adham Makhadmeh,Jordan
Egypt,Iran,GROUP_STAGE,GROUP_G,Szymon Marciniak,Poland
