season,date,minute,team,player,type,result,is_home
2018,2018-07-06,46,Belgium,Toby Alderweireld,yellow,A,0
2018,2018-07-06,70,Belgium,Thomas Meunier,yellow,A,0
2018,2018-07-06,84,Brazil,Fernando Luiz Roza,yellow,A,1
2018,2018-07-06,89,Brazil,Fágner Conserva Lemos,yellow,A,1
2018,2018-07-02,39,Japan,Gaku Shibasaki,yellow,H,0
2018,2018-06-24,9,Panama,Armando Enrique Cooper Whitaker,yellow,H,0
2018,2018-06-24,22,England,Ruben Loftus-Cheek,yellow,H,1
2018,2018-06-24,43,Panama,Fidel Escobar Mendieta,yellow,H,0
2018,2018-06-24,71,Panama,Michael Amir Murillo Bermudez,yellow,H,0
2018,2018-06-19,11,Poland,Grzegorz Krychowiak,yellow,A,1
2018,2018-06-19,48,Senegal,Salif Sané,yellow,A,0
2018,2018-06-22,32,Serbia,Sergej Milinković-Savić,yellow,A,1
2018,2018-06-22,38,Serbia,Luka Milivojević,yellow,A,1
2018,2018-06-22,46,Serbia,Nemanja Matić,yellow,A,1
2018,2018-06-22,86,Serbia,Aleksandar Mitrović,yellow,A,1
2018,2018-06-22,90,Switzerland,Xherdan Shaqiri,yellow,A,0
2018,2018-06-18,11,South Korea,Shin-Wook Kim,yellow,H,0
2018,2018-06-18,54,South Korea,Hee-Chan Hwang,yellow,H,0
2018,2018-06-18,60,Sweden,Viktor Claesson,yellow,H,1
2018,2018-06-17,39,Mexico,Héctor Alfredo Moreno Herrera,yellow,A,0
2018,2018-06-17,82,Germany,Thomas Müller,yellow,A,1
2018,2018-06-17,83,Germany,Mats Hummels,yellow,A,1
2018,2018-06-17,89,Mexico,Héctor Miguel Herrera López,yellow,A,0
2018,2018-06-20,78,Iran,Vahid Amiri,yellow,A,1
2018,2018-06-20,91,Iran,Omid Ebrahimi,yellow,A,1
2018,2018-06-21,15,France,Blaise Matuidi,yellow,H,1
2018,2018-06-21,22,Peru,José Paolo Guerrero Gonzáles,yellow,H,0
2018,2018-06-21,79,Peru,Pedro Jesús Aquino Sánchez,yellow,H,0
2018,2018-06-21,85,France,Paul Pogba,yellow,H,1
2018,2018-06-21,8,Argentina,Nicolás Alejandro Tagliafico,yellow,A,1
2018,2018-06-21,38,Croatia,Ante Rebić,yellow,A,0
2018,2018-06-21,50,Argentina,Gabriel Iván Mercado,yellow,A,1
2018,2018-06-21,57,Croatia,Mario Mandžukić,yellow,A,0
2018,2018-06-21,66,Croatia,Šime Vrsaljko,yellow,A,0
2018,2018-06-21,84,Argentina,Nicolás Hernán Otamendi,yellow,A,1
2018,2018-06-21,86,Argentina,Marcos Javier Acuña,yellow,A,1
2018,2018-06-21,93,Croatia,Marcelo Brozović,yellow,A,0
2018,2018-07-03,40,Colombia,Wílmar Enrique Barrios Terán,yellow,D,1
2018,2018-07-03,51,Colombia,Santiago Arias Naranjo,yellow,D,1
2018,2018-07-03,53,Colombia,Carlos Alberto Sánchez Moreno,yellow,D,1
2018,2018-07-03,55,England,Jordan Brian Henderson,yellow,D,0
2018,2018-07-03,62,Colombia,Radamel Falcao García Zárate,yellow,D,1
2018,2018-07-03,63,Colombia,Carlos Arturo Bacca Ahumada,yellow,D,1
2018,2018-07-03,68,England,Jesse Lingard,yellow,D,0
2018,2018-07-03,117,Colombia,Juan Guillermo Cuadrado Bello,yellow,D,1
2018,2018-06-28,43,Tunisia,Ferjani Sassi,yellow,A,0
