season,date,home_team,away_team,home_xg,away_xg,home_yellow,away_yellow,home_red,away_red,home_fouls,away_fouls,home_score,away_score
2018,2018-07-06,Brazil,Belgium,2.609,0.405,2,2,0,0,20,18,1,2
2018,2018-07-02,Belgium,Japan,2.918,0.694,0,1,0,0,13,11,3,2
2018,2018-06-24,England,Panama,3.168,1.08,1,3,0,0,14,13,6,1
2018,2018-06-19,Poland,Senegal,1.042,1.428,1,1,0,0,7,17,1,2
2018,2018-06-22,Serbia,Switzerland,1.153,1.557,4,1,0,0,20,13,1,2
2018,2018-06-18,Sweden,South Korea,2.015,0.414,1,2,0,0,19,22,1,0
2018,2018-06-17,Germany,Mexico,2.299,0.993,2,2,0,0,13,15,0,1
2018,2018-06-20,Iran,Spain,0.426,2.197,2,0,0,0,14,15,0,1
2018,2018-06-20,Uruguay,Saudi Arabia,1.807,0.273,0,0,0,0,13,12,1,0
2018,2018-06-21,France,Peru,1.862,0.625,2,2,0,0,11,14,1,0
2018,2018-06-21,Argentina,Croatia,1.218,1.832,4,4,0,0,20,23,0,3
2018,2018-07-03,Colombia,England,4.749,6.162,6,2,0,0,23,13,1,1
2018,2018-06-28,Panama,Tunisia,0.691,2.852,1,3,0,0,20,20,1,2
2018,2018-06-28,Japan,Poland,0.891,1.041,1,0,0,0,12,9,0,1
2018,2018-06-26,Iceland,Croatia,2.133,0.674,3,1,0,0,14,13,1,2
2018,2018-06-19,Russia,Egypt,0.981,1.698,2,1,0,0,10,11,3,1
2018,2018-06-16,Argentina,Iceland,2.081,1.032,0,0,0,0,11,17,1,1
2018,2018-06-28,England,Belgium,1.201,0.965,0,2,0,0,14,16,0,1
2018,2018-07-03,Sweden,Switzerland,0.91,0.533,1,2,0,1,12,16,1,0
2018,2018-06-25,Iran,Portugal,1.577,1.522,1,2,0,0,16,9,1,1
2018,2018-06-20,Portugal,Morocco,0.885,1.455,1,1,0,0,18,23,1,0
2018,2018-07-11,Croatia,England,2.141,0.547,2,1,0,0,26,13,2,1
2018,2018-06-22,Brazil,Costa Rica,3.096,0.159,2,1,0,0,11,17,2,0
2018,2018-06-15,Egypt,Uruguay,0.364,1.941,1,0,0,0,16,7,0,1
2018,2018-06-23,South Korea,Mexico,0.822,1.878,3,0,0,0,26,8,1,2
2018,2018-06-18,Belgium,Panama,1.212,0.625,3,5,0,0,17,20,3,0
