player,team_2018_22,wc_xg,wc_goals,wc_shots,wc_assists
Lionel Andrés Messi Cuccittini,Argentina,9.48,10,52,4
Harry Kane,England,7.14,9,27,3
Kylian Mbappé Lottin,France,6.79,13,40,2
Neymar da Silva Santos Junior,Brazil,6.31,4,39,1
Cristiano Ronaldo dos Santos Aveiro,Portugal,4.64,5,33,0
Olivier Giroud,France,4.54,4,32,1
Luka Modrić,Croatia,4.53,5,19,1
Robert Lewandowski,Poland,4.31,2,21,1
Romelu Lukaku Menama,Belgium,4.29,4,19,0
Antoine Griezmann,France,4.05,4,27,5
Aleksandar Mitrović,Serbia,3.76,3,26,0
Eden Hazard,Belgium,3.28,3,19,2
Michy Batshuayi Tunga,Belgium,3.14,2,14,0
Lautaro Javier Martínez,Argentina,2.91,1,15,0
Ivan Perišić,Croatia,2.87,4,40,4
Marcus Rashford,England,2.75,4,17,0
Andrej Kramarić,Croatia,2.73,4,22,0
Mario Mandžukić,Croatia,2.71,3,12,1
Breel-Donald Embolo,Switzerland,2.58,2,10,1
Ivan Rakitić,Croatia,2.58,3,17,0
Marcus Berg,Sweden,2.55,0,15,0
Edinson Roberto Cavani Gómez,Uruguay,2.33,3,19,0
Diego da Silva Costa,Spain,2.3,3,11,0
Marcelo Brozović,Croatia,2.27,2,10,1
Nikola Vlašić,Croatia,2.2,2,7,0
Ismaïla Sarr,Senegal,2.1,1,13,0
Randal Kolo Muani,France,2.05,2,5,0
Heung-Min Son,South Korea,2.03,2,23,1
Gerard Piqué Bernabéu,Spain,2.01,1,9,0
Mile Jedinak,Australia,1.99,2,6,0
Andreas Granqvist,Sweden,1.94,2,6,0
John Stones,England,1.94,2,10,0
Sergei Ignashevich,Russia,1.93,2,5,0
Enner Remberto Valencia Lastra,Ecuador,1.92,3,9,0
Luis Alberto Suárez Díaz,Uruguay,1.92,2,16,2
Carlos Alberto Vela Garrido,Mexico,1.91,1,10,0
Julián Álvarez,Argentina,1.91,4,11,0
Denis Cheryshev,Russia,1.9,5,14,0
Gylfi Þór Sigurðsson,Iceland,1.88,1,10,0
Radamel Falcao García Zárate,Colombia,1.88,2,9,0
Mehdi Taremi,Iran,1.85,2,9,1
Salem Mohammed Al Dawsari,Saudi Arabia,1.83,3,14,0
Christian Dannemann Eriksen,Denmark,1.81,1,16,1
Gabriel Fernando de Jesus,Brazil,1.79,0,12,0
Sardar Azmoun,Iran,1.79,0,10,0
Philippe Coutinho Correia,Brazil,1.78,2,23,2
Marko Livaja,Croatia,1.77,1,7,1
Wahbi Khazri,Tunisia,1.76,3,17,2
M'Baye Babacar Niang,Senegal,1.73,1,8,0
Niclas Füllkrug,Germany,1.69,2,8,1
Gonçalo Matias Ramos,Portugal,1.67,3,7,1
Artem Dzyuba,Russia,1.66,3,8,2
Richarlison de Andrade,Brazil,1.62,3,8,0
Roberto Firmino Barbosa de Oliveira,Brazil,1.61,1,6,0
Fyodor Smolov,Russia,1.6,1,4,0
Mohamed Salah,Egypt,1.6,2,6,0
Gonzalo Ariel Montiel,Argentina,1.59,2,3,0
Lovro Majer,Croatia,1.59,2,5,0
Hakim Ziyech,Morocco,1.58,2,20,1
Leandro Daniel Paredes,Argentina,1.58,2,3,0
Ante Rebić,Croatia,1.54,1,15,0
Fakhreddine Ben Youssef,Tunisia,1.54,1,7,0
Raheem Sterling,England,1.52,1,12,1
Eric Dier,England,1.51,1,6,0
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,1.5,2,4,0
Mateo Kovačić,Croatia,1.48,0,8,1
Mario Gómez García,Germany,1.46,0,6,0
José Paulo Bezzera Maciel Júnior,Brazil,1.37,1,6,0
José Martín Cáceres Silva,Uruguay,1.33,0,7,0
Carlos Henrique Casimiro,Brazil,1.32,2,14,0
Iago Aspas Juncal,Spain,1.32,1,5,0
Takuma Asano,Japan,1.28,2,9,0
André Ayew Pelé,Ghana,1.27,1,2,0
Carlos Soler Barragán,Spain,1.27,1,5,0
