team,player,position,dob,nationality
Uruguay,Fernando Muslera,Goalkeeper,1986-06-16,Uruguay
Uruguay,Santiago Mele,Goalkeeper,1997-09-06,Uruguay
Uruguay,Sergio Rochet,Goalkeeper,1993-03-23,Uruguay
Uruguay,Guillermo Varela,Defence,1993-03-24,Uruguay
Uruguay,Ronald Araújo,Defence,1999-03-07,Uruguay
Uruguay,Sebastían Cáceres,Defence,1999-08-18,Uruguay
Uruguay,Matías Viña,Defence,1997-11-09,Uruguay
Uruguay,Joaquín Piquerez,Defence,1998-08-24,Uruguay
Uruguay,Maximiliano Araújo,Defence,2000-02-15,Uruguay
Uruguay,Mathías Olivera,Defence,1997-10-31,Uruguay
Uruguay,Santiago Bueno,Defence,1998-11-09,Uruguay
Uruguay,José Giménez,Defence,1995-01-20,Uruguay
Uruguay,Federico Valverde,Midfield,1998-07-22,Uruguay
Uruguay,Giorgian De Arrascaeta,Midfield,1994-06-01,Uruguay
Uruguay,Rodrigo Bentancur,Midfield,1997-06-25,Uruguay
Uruguay,Manuel Ugarte,Midfield,2001-04-11,Uruguay
Uruguay,Brian Rodríguez,Midfield,2000-05-20,Uruguay
Uruguay,Rodrigo Zalazar,Midfield,1999-08-12,Uruguay
Uruguay,Facundo Pellistri,Midfield,2001-12-20,Uruguay
Uruguay,Emiliano Martínez,Midfield,1999-08-17,Uruguay
Uruguay,Juan Sanabria,Midfield,2000-03-29,Uruguay
Uruguay,Nicolas de la Cruz,Midfield,1997-06-01,Uruguay
Uruguay,Rodrigo Aguirre,Offence,1994-10-01,Uruguay
Uruguay,Darwin Núñez,Offence,1999-06-24,Uruguay
Uruguay,Agustín Canobbio,Offence,1998-10-01,Uruguay
Uruguay,Federico Viñas,Offence,1998-06-30,Uruguay
Germany,Oliver Baumann,Goalkeeper,1990-06-02,Germany
Germany,Manuel Neuer,Goalkeeper,1986-03-27,Germany
Germany,Alexander Nübel,Goalkeeper,1996-09-30,Germany
Germany,Jonathan Tah,Defence,1996-02-11,Germany
Germany,Waldemar Anton,Defence,1996-07-20,Germany
