team,att90,def90,real_goals,attack_mult,def_mult
Argentina,0.34,2.18,5,1.15,1.07
Brazil,0.36,1.73,7,1.15,0.93
Canada,0.33,1.48,5,1.15,0.93
Egypt,0.35,3.0,0,1.15,1.07
England,0.32,1.0,4,1.15,0.93
France,0.49,2.68,8,1.15,1.07
Germany,0.5,1.94,5,1.15,1.038
Japan,0.34,1.27,4,1.15,0.93
Netherlands,0.45,1.3,7,1.15,0.93
Norway,0.44,2.59,4,1.15,1.07
Portugal,0.34,1.09,0,1.15,0.93
Spain,0.3,2.77,0,1.15,1.07
Sweden,0.36,1.24,4,1.15,0.93
Switzerland,0.33,1.3,5,1.15,0.93
Morocco,0.31,1.45,3,1.137,0.93
Senegal,0.3,2.05,3,1.115,1.07
Colombia,0.33,1.18,2,1.099,0.93
New Zealand,0.27,2.05,3,1.039,1.07
Croatia,0.23,1.14,0,1.034,0.93
Mexico,0.3,1.3,2,0.996,0.93
United States,0.29,2.03,2,0.99,1.07
Türkiye,0.21,1.73,0,0.936,0.93
Bosnia & Herz.,0.2,1.55,0,0.901,0.93
Côte d'Ivoire,0.2,2.0,0,0.887,1.07
Uruguay,0.25,2.59,2,0.864,1.07
Algeria,0.16,2.09,0,0.85,1.07
Australia,0.12,1.42,0,0.85,0.93
Austria,0.14,1.86,0,0.85,0.997
Belgium,0.14,2.26,0,0.85,1.07
Cabo Verde,0.15,3.59,0,0.85,1.07
Congo DR,0.09,1.5,0,0.85,0.93
Curaçao,0.06,1.97,0,0.85,1.054
Czechia,0.12,1.15,0,0.85,0.93
Ecuador,0.16,2.21,0,0.85,1.07
Ghana,0.07,1.91,0,0.85,1.021
Haiti,0.08,1.73,0,0.85,0.93
IR Iran,0.18,3.09,0,0.85,1.07
Iraq,0.09,2.64,0,0.85,1.07
Jordan,0.17,1.68,0,0.85,0.93
Korea Republic,0.13,1.3,0,0.85,0.93
Panama,0.04,1.14,0,0.85,0.93
Paraguay,0.11,2.25,0,0.85,1.07
Qatar,0.12,1.53,0,0.85,0.93
Saudi Arabia,0.09,2.95,0,0.85,1.07
Scotland,0.06,1.27,0,0.85,0.93
South Africa,0.12,1.69,0,0.85,0.93
Tunisia,0.11,1.91,0,0.85,1.021
Uzbekistan,0.07,1.91,0,0.85,1.021
