mundial,fecha,local,visitante,pred,prob,real,marcador,acierto
1970,1970-06-06,Morocco,Peru,2,0.426,2,0-3,1
1970,1970-06-06,Belgium,Russia,2,0.577,2,1-4,1
1970,1970-06-06,Czech Republic,Romania,1,0.557,2,1-2,0
1970,1970-06-06,Italy,Uruguay,1,0.599,X,0-0,0
1970,1970-06-07,Brazil,England,2,0.41,1,1-0,0
1970,1970-06-07,Bulgaria,Germany,2,0.614,2,2-5,1
1970,1970-06-07,Israel,Sweden,2,0.598,X,1-1,0
1970,1970-06-07,Mexico,El Salvador,1,0.721,1,4-0,1
1970,1970-06-10,Brazil,Romania,1,0.704,1,3-2,1
1970,1970-06-10,El Salvador,Russia,2,0.841,2,0-2,1
1970,1970-06-10,Germany,Peru,1,0.671,1,3-1,1
1970,1970-06-10,Sweden,Uruguay,2,0.455,1,1-0,0
1970,1970-06-11,Mexico,Belgium,1,0.538,1,1-0,1
1970,1970-06-11,Israel,Italy,2,0.746,X,0-0,0
1970,1970-06-11,Bulgaria,Morocco,1,0.5,X,1-1,0
1970,1970-06-11,Czech Republic,England,2,0.573,2,0-1,1
1970,1970-06-14,Brazil,Peru,1,0.763,1,4-2,1
1970,1970-06-14,England,Germany,1,0.483,2,2-3,0
1970,1970-06-14,Mexico,Italy,2,0.491,2,1-4,1
1970,1970-06-14,Russia,Uruguay,1,0.613,2,0-1,0
1970,1970-06-17,Germany,Italy,1,0.452,2,3-4,0
1970,1970-06-17,Brazil,Uruguay,1,0.634,1,3-1,1
1970,1970-06-20,Germany,Uruguay,1,0.628,1,1-0,1
1970,1970-06-21,Brazil,Italy,1,0.48,1,4-1,1
1974,1974-06-18,Serbia,DR Congo,1,0.493,1,9-0,1
1974,1974-06-18,Scotland,Brazil,2,0.685,X,0-0,0
1974,1974-06-18,Chile,German DR,2,0.612,X,1-1,0
1974,1974-06-18,Germany,Australia,1,0.843,1,3-0,1
1974,1974-06-19,Argentina,Italy,2,0.603,X,1-1,0
1974,1974-06-19,Bulgaria,Uruguay,1,0.487,X,1-1,0
1974,1974-06-19,Haiti,Poland,2,0.662,2,0-7,1
1974,1974-06-19,Netherlands,Sweden,1,0.424,X,0-0,0
1974,1974-06-22,Australia,Chile,2,0.395,X,0-0,0
1974,1974-06-22,DR Congo,Brazil,2,0.714,2,0-3,1
1974,1974-06-22,Germany,German DR,1,0.642,2,0-1,0
1974,1974-06-22,Scotland,Serbia,2,0.509,X,1-1,0
1974,1974-06-23,Poland,Italy,2,0.485,1,2-1,0
1974,1974-06-23,Sweden,Uruguay,1,0.467,1,3-0,1
1974,1974-06-23,Bulgaria,Netherlands,2,0.456,2,1-4,1
1974,1974-06-23,Argentina,Haiti,1,0.674,1,4-1,1
1974,1974-06-26,Brazil,German DR,1,0.497,1,1-0,1
1974,1974-06-26,Germany,Serbia,1,0.647,1,2-0,1
1974,1974-06-26,Netherlands,Argentina,1,0.471,1,4-0,1
1974,1974-06-26,Sweden,Poland,2,0.473,2,0-1,1
1974,1974-06-30,Argentina,Brazil,2,0.703,2,1-2,1
1974,1974-06-30,German DR,Netherlands,1,0.42,2,0-2,0
1974,1974-06-30,Germany,Sweden,1,0.736,1,4-2,1
1974,1974-06-30,Poland,Serbia,1,0.442,1,2-1,1
1974,1974-07-03,Sweden,Serbia,2,0.464,1,2-1,0
1974,1974-07-03,Netherlands,Brazil,2,0.505,1,2-0,0
1974,1974-07-03,Argentina,German DR,2,0.526,X,1-1,0
1974,1974-07-03,Germany,Poland,1,0.647,1,1-0,1
1974,1974-07-06,Brazil,Poland,1,0.501,2,0-1,0
1974,1974-07-07,Germany,Netherlands,1,0.591,1,2-1,1
1978,1978-06-06,Hungary,Italy,2,0.466,2,1-3,1
1978,1978-06-06,Poland,Tunisia,1,0.551,1,1-0,1
1978,1978-06-06,Argentina,France,1,0.59,1,2-1,1
1978,1978-06-06,Germany,Mexico,1,0.726,1,6-0,1
1978,1978-06-07,Iran,Scotland,2,0.383,X,1-1,0
1978,1978-06-07,Netherlands,Peru,1,0.717,X,0-0,0
1978,1978-06-07,Austria,Sweden,1,0.463,1,1-0,1
1978,1978-06-07,Brazil,Spain,1,0.549,X,0-0,0
1978,1978-06-10,Mexico,Poland,2,0.606,2,1-3,1
1978,1978-06-10,Germany,Tunisia,1,0.723,X,0-0,0
1978,1978-06-10,France,Hungary,2,0.389,1,3-1,0
1978,1978-06-10,Argentina,Italy,1,0.477,2,0-1,0
1978,1978-06-11,Austria,Brazil,2,0.582,2,0-1,1
