city,date,altitude,tmax,tmin,rain_mm
Mexico City,2026-06-27,2240,22.0,13.5,5.8
Mexico City,2026-06-28,2240,21.9,12.2,6.5
Mexico City,2026-06-29,2240,22.5,12.7,17.4
Mexico City,2026-06-30,2240,21.4,13.8,8.4
Mexico City,2026-07-01,2240,20.1,13.5,2.4
Mexico City,2026-07-02,2240,22.1,12.4,6.9
Mexico City,2026-07-03,2240,21.3,13.4,16.8
Mexico City,2026-07-04,2240,20.7,13.3,10.7
Mexico City,2026-07-05,2240,21.3,12.4,8.1
Mexico City,2026-07-06,2240,21.9,12.9,10.4
Zapopan,2026-06-27,1560,28.8,16.8,1.7
Zapopan,2026-06-28,1560,28.1,17.0,7.8
Zapopan,2026-06-29,1560,26.9,16.8,16.6
Zapopan,2026-06-30,1560,26.1,16.9,0.8
Zapopan,2026-07-01,1560,26.0,16.3,20.3
Zapopan,2026-07-02,1560,24.4,16.9,7.1
Zapopan,2026-07-03,1560,23.1,16.1,9.6
Zapopan,2026-07-04,1560,24.6,16.0,4.3
Zapopan,2026-07-05,1560,23.7,16.4,15.6
Zapopan,2026-07-06,1560,23.4,16.6,13.6
Guadalupe,2026-06-27,540,35.6,22.6,0.0
Guadalupe,2026-06-28,540,36.3,22.9,0.0
Guadalupe,2026-06-29,540,36.6,23.7,0.0
Guadalupe,2026-06-30,540,35.8,24.2,0.0
Guadalupe,2026-07-01,540,35.6,23.2,0.0
Guadalupe,2026-07-02,540,35.8,23.0,0.0
Guadalupe,2026-07-03,540,36.3,23.7,0.0
Guadalupe,2026-07-04,540,36.1,23.5,0.0
Guadalupe,2026-07-05,540,36.0,23.7,0.0
Guadalupe,2026-07-06,540,35.9,23.6,0.0
Inglewood,2026-06-27,30,23.4,15.8,0.0
Inglewood,2026-06-28,30,23.6,14.3,0.0
Inglewood,2026-06-29,30,22.0,14.3,0.0
Inglewood,2026-06-30,30,20.9,17.6,0.0
Inglewood,2026-07-01,30,20.8,17.2,0.0
Inglewood,2026-07-02,30,22.1,17.1,0.0
Inglewood,2026-07-03,30,23.9,18.5,0.0
Inglewood,2026-07-04,30,24.2,18.6,0.0
Inglewood,2026-07-05,30,23.8,19.2,0.0
Inglewood,2026-07-06,30,25.5,19.6,0.0
Santa Clara,2026-06-27,11,19.2,13.1,0.0
Santa Clara,2026-06-28,11,24.2,9.6,0.0
Santa Clara,2026-06-29,11,30.9,13.3,0.0
Santa Clara,2026-06-30,11,30.0,14.4,0.0
Santa Clara,2026-07-01,11,29.1,13.4,0.0
Santa Clara,2026-07-02,11,23.8,15.0,0.0
Santa Clara,2026-07-03,11,24.8,14.7,0.0
Santa Clara,2026-07-04,11,31.3,14.8,0.0
Santa Clara,2026-07-05,11,30.4,17.3,0.0
Santa Clara,2026-07-06,11,28.3,15.5,0.0
Seattle,2026-06-27,56,18.7,12.0,0.0
Seattle,2026-06-28,56,19.7,12.4,0.0
Seattle,2026-06-29,56,20.1,11.8,0.0
Seattle,2026-06-30,56,21.5,12.4,0.0
Seattle,2026-07-01,56,20.5,12.0,0.0
Seattle,2026-07-02,56,24.7,9.1,0.0
Seattle,2026-07-03,56,23.7,9.7,0.0
Seattle,2026-07-04,56,26.2,10.0,0.0
Seattle,2026-07-05,56,24.6,10.1,0.0
Seattle,2026-07-06,56,28.6,12.3,0.0
Foxborough,2026-06-27,90,26.6,18.6,37.5
Foxborough,2026-06-28,90,25.7,18.3,1.1
Foxborough,2026-06-29,90,29.3,16.7,0.0
